"","qPCR","Fungi.pct","Habitat"
"983",5.33116325,99.94213591,"Root"
"984",5.255836854,99.98846021,"Root"
"985",5.762646741,99.98253478,"Root"
"986",5.30715835,99.98690671,"Root"
"987",7.256060293,100,"Root"
"988",7.135110356,99.99108973,"Root"
"989",6.251499589,99.99387593,"Root"
"990",5.670783025,99.98836819,"Root"
"991",5.499781354,99.9760651,"Root"
"992",5.778212116,99.98552525,"Root"
"993",5.952653583,99.97166978,"Root"
"994",6.111024316,100,"Root"
"995",6.274912629,99.99914261,"Root"
"996",6.435067878,100,"Root"
"997",6.082913615,99.99858415,"Root"
"998",5.805118662,99.99006359,"Root"
"999",5.307964719,99.98957959,"Root"
