"","Fungi","Relative_Abundance","Sampletime","Direction","Distance"
"283","Other",378,"TP0913","B",8
"284","Other",162,"TP1011","B",8
"285","Other",64,"TP0913","C",8
"286","Other",103,"TP1011","C",8
"287","Other",3,"TP0913","P",0
"288","Other",10,"TP1011","P",0
"289","Other",17,"TP0913","A",1
"290","Other",4,"TP1011","A",1
"291","Other",2,"TP0913","B",1
"292","Other",40,"TP1011","B",1
"293","Other",4,"TP0913","C",1
"294","Other",6,"TP1011","C",1
"295","Other",2,"TP0913","A",2
"296","Other",6,"TP1011","A",2
"297","Other",18,"TP0913","B",2
"298","Other",10,"TP1011","B",2
"299","Other",5,"TP0913","C",2
"300","Other",5,"TP1011","C",2
"301","Other",1,"TP0913","A",4
"302","Other",7,"TP1011","A",4
"303","Other",0,"TP0913","B",4
"304","Other",6,"TP1011","B",4
"305","Other",2,"TP0913","C",4
"306","Other",25,"TP1011","C",4
"307","Other",9,"TP0913","A",8
"308","Other",0,"TP1011","A",8
"309","Other",13,"TP0913","B",8
"310","Other",37,"TP1011","B",8
"311","Other",1,"TP0913","C",8
"312","Other",4,"TP1011","C",8
"313","Other",1,"TP0913","P",0
"314","Other",0,"TP1011","P",0
"315","Other",1,"TP0913","A",1
"316","Other",0,"TP1011","A",1
"317","Other",3,"TP0913","B",1
"318","Other",0,"TP1011","B",1
"319","Other",2,"TP0913","C",1
"320","Other",1,"TP1011","C",1
"321","Other",1,"TP0913","A",2
"322","Other",1,"TP1011","A",2
"323","Other",1,"TP0913","B",2
"324","Other",8,"TP1011","B",2
"325","Other",0,"TP0913","C",2
"326","Other",0,"TP1011","C",2
"327","Other",1,"TP0913","A",4
"328","Other",8,"TP1011","A",4
"329","Other",5,"TP0913","B",4
"330","Other",3,"TP1011","B",4
"331","Other",0,"TP0913","C",4
"332","Other",6,"TP1011","C",4
"333","Other",6,"TP0913","A",8
"334","Other",1,"TP1011","A",8
"335","Other",22,"TP0913","B",8
"336","Other",2,"TP1011","B",8
"337","Other",0,"TP0913","C",8
"338","Other",7,"TP1011","C",8
"339","Other",0,"TP0913","P",0
"340","Other",0,"TP1011","P",0
"341","Other",0,"TP0913","A",1
