"","TP","J","Treatment1","Habitat"
"408",9,0.872653184487075,"Control","Soil"
"409",9,0.870290956139723,"Post_flowering_drought","Soil"
"410",9,0.901591034804499,"Post_flowering_drought","Soil"
"411",9,0.890188848799106,"Post_flowering_drought","Soil"
"412",9,0.897954590386252,"Post_flowering_drought","Soil"
"413",9,0.923709736185998,"Pre_flowering_drought","Soil"
"414",9,0.87169068222051,"Pre_flowering_drought","Soil"
"415",9,0.855753232750175,"Control","Rhizosphere"
"416",9,0.850911847903228,"Control","Rhizosphere"
"417",9,0.779053158449816,"Control","Rhizosphere"
"418",9,0.779155788035107,"Pre_flowering_drought","Rhizosphere"
"419",9,0.565600415031201,"Pre_flowering_drought","Rhizosphere"
"420",9,0.826226074895098,"Post_flowering_drought","Rhizosphere"
"421",9,0.784951813410179,"Post_flowering_drought","Rhizosphere"
"422",9,0.692217976560166,"Pre_flowering_drought","Rhizosphere"
"423",9,0.69803535332584,"Pre_flowering_drought","Rhizosphere"
"424",9,0.77506305130788,"Control","Rhizosphere"
"425",9,0.826474285121409,"Control","Rhizosphere"
"426",9,0.786562704960912,"Control","Rhizosphere"
"427",9,0.752950726699381,"Post_flowering_drought","Rhizosphere"
"428",9,0.771251299242256,"Post_flowering_drought","Rhizosphere"
"429",9,0.839424506079592,"Post_flowering_drought","Rhizosphere"
"430",9,0.770663151005244,"Post_flowering_drought","Rhizosphere"
"431",9,0.815721738599116,"Pre_flowering_drought","Rhizosphere"
"432",9,0.733379215668999,"Pre_flowering_drought","Rhizosphere"
"433",0,0.89763450576561,"Control","Soil"
"434",0,0.855067521803452,"Control","Soil"
"435",0,0.859169668126428,"Control","Soil"
"436",0,0.829408046524779,"Pre_flowering_drought","Soil"
"437",0,0.837162169447838,"Pre_flowering_drought","Soil"
"438",0,0.848724260626647,"Post_flowering_drought","Soil"
"439",0,0.854408966206222,"Post_flowering_drought","Soil"
"440",0,0.719630666293024,"Pre_flowering_drought","Soil"
"441",0,0.888090778416874,"Pre_flowering_drought","Soil"
"442",0,0.868886100168085,"Control","Soil"
"443",0,0.872017325520434,"Control","Soil"
"444",0,0.883799501308762,"Control","Soil"
"445",0,0.892642350054051,"Post_flowering_drought","Soil"
"446",0,0.877091504501678,"Post_flowering_drought","Soil"
"447",0,0.850613704586,"Post_flowering_drought","Soil"
"448",0,0.845290558329759,"Post_flowering_drought","Soil"
"449",0,0.892902677046789,"Pre_flowering_drought","Soil"
"450",0,0.863352573071191,"Pre_flowering_drought","Soil"
"451",10,0.638327359579878,"Control","Leaf"
"452",10,0.744868036898572,"Control","Leaf"
"453",10,0.654895260638279,"Post_flowering_drought","Leaf"
"454",10,0.620107093540948,"Post_flowering_drought","Leaf"
"455",10,0.598373893427373,"Pre_flowering_drought","Leaf"
"456",10,0.664969520717396,"Pre_flowering_drought","Leaf"
"457",10,0.763061338002208,"Control","Leaf"
"458",10,0.729071124974765,"Control","Leaf"
"459",10,0.526594107729018,"Pre_flowering_drought","Leaf"
"460",10,0.560023415516414,"Pre_flowering_drought","Leaf"
"461",10,0.644334140888113,"Post_flowering_drought","Leaf"
"462",10,0.619752279925204,"Post_flowering_drought","Leaf"
"463",10,0.549832569945956,"Pre_flowering_drought","Leaf"
"464",10,0.624515538082412,"Pre_flowering_drought","Leaf"
"465",10,0.656904008520567,"Control","Leaf"
"466",10,0.666259762154184,"Control","Leaf"
"467",10,0.685459112670279,"Post_flowering_drought","Leaf"
"468",10,0.728114726261352,"Post_flowering_drought","Leaf"
"469",10,0.755432917009322,"Control","Root"
"470",10,0.67844625510049,"Control","Root"
"471",10,0.699999120894316,"Control","Root"
"472",10,0.690984992596968,"Pre_flowering_drought","Root"
"473",10,0.684152779058025,"Pre_flowering_drought","Root"
"474",10,0.719878014880506,"Post_flowering_drought","Root"
"475",10,0.800053748055069,"Post_flowering_drought","Root"
"476",10,0.528490207389374,"Pre_flowering_drought","Root"
"477",10,0.581993077948994,"Pre_flowering_drought","Root"
"478",10,0.681775833609503,"Control","Root"
"479",10,0.729355991094052,"Control","Root"
"480",10,0.761939809545981,"Control","Root"
"481",10,0.736499736379223,"Post_flowering_drought","Root"
"482",10,0.771861252982142,"Post_flowering_drought","Root"
"483",10,0.709934023138816,"Post_flowering_drought","Root"
"484",10,0.732718593106564,"Post_flowering_drought","Root"
"485",10,0.693466740973334,"Pre_flowering_drought","Root"
"486",10,0.656972509284813,"Pre_flowering_drought","Root"
"487",10,0.850737490188202,"Control","Soil"
"488",10,0.87686326347533,"Control","Soil"
"489",10,0.849074297322219,"Control","Soil"
"490",10,0.902417424135142,"Pre_flowering_drought","Soil"
"491",10,0.845870009474633,"Pre_flowering_drought","Soil"
"492",10,0.867450127334875,"Post_flowering_drought","Soil"
"493",10,0.831830580434601,"Post_flowering_drought","Soil"
"494",10,0.841252973867742,"Pre_flowering_drought","Soil"
"495",10,0.81798545571423,"Pre_flowering_drought","Soil"
"496",10,0.844860478223734,"Control","Soil"
"497",10,0.764356699948626,"Control","Soil"
"498",10,0.805702402329275,"Control","Soil"
"499",10,0.886862098916103,"Post_flowering_drought","Soil"
"500",10,0.868763219103976,"Post_flowering_drought","Soil"
"501",10,0.831509976528581,"Post_flowering_drought","Soil"
"502",10,0.845060835735819,"Post_flowering_drought","Soil"
"503",10,0.862195119909808,"Pre_flowering_drought","Soil"
"504",10,0.89917296144497,"Pre_flowering_drought","Soil"
"505",10,0.820059686302658,"Control","Rhizosphere"
"506",10,0.772937285016139,"Control","Rhizosphere"
"507",10,0.784213108511975,"Control","Rhizosphere"
"508",10,0.60175875270254,"Pre_flowering_drought","Rhizosphere"
"509",10,0.731266198000447,"Pre_flowering_drought","Rhizosphere"
"510",10,0.7657320508979,"Post_flowering_drought","Rhizosphere"
"511",10,0.788874719127348,"Post_flowering_drought","Rhizosphere"
"512",10,0.566549057204257,"Pre_flowering_drought","Rhizosphere"
"513",10,0.679275593087775,"Pre_flowering_drought","Rhizosphere"
"514",10,0.72767598510438,"Control","Rhizosphere"
"515",10,0.702837109120911,"Control","Rhizosphere"
"516",10,0.846722773505524,"Control","Rhizosphere"
