"","Fungi","Relative_Abundance","Habitat","TP","Treatment","Cultivar"
"197","Ascomycota",0.317382325167444,"Leaf",7,"CON","RTx430"
"198","Ascomycota",0.899375467747046,"Rhizosphere",7,"CON","RTx430"
"199","Ascomycota",0.969897388261195,"Root",7,"CON","RTx430"
"200","Ascomycota",0.817088281251414,"Soil",7,"CON","RTx430"
"201","Ascomycota",0.588923732823407,"Leaf",8,"CON","RTx430"
"202","Ascomycota",0.868596075754002,"Rhizosphere",8,"CON","RTx430"
"203","Ascomycota",0.926916353366571,"Root",8,"CON","RTx430"
"204","Ascomycota",0.746932522730735,"Soil",8,"CON","RTx430"
"205","Ascomycota",0.649603604755919,"Leaf",9,"CON","RTx430"
"206","Ascomycota",0.837384838873629,"Rhizosphere",9,"CON","RTx430"
"207","Ascomycota",0.9423535562407,"Root",9,"CON","RTx430"
"208","Ascomycota",0.790215296301087,"Soil",9,"CON","RTx430"
"209","Ascomycota",0.672533262742576,"Leaf",10,"CON","RTx430"
"210","Ascomycota",0.892200655591771,"Rhizosphere",10,"CON","RTx430"
"211","Ascomycota",0.94338789949957,"Root",10,"CON","RTx430"
"212","Ascomycota",0.693943272716709,"Soil",10,"CON","RTx430"
"213","Ascomycota",0.599000298996438,"Leaf",11,"CON","RTx430"
"214","Ascomycota",0.887977552923972,"Rhizosphere",11,"CON","RTx430"
"215","Ascomycota",0.903615712650049,"Root",11,"CON","RTx430"
"216","Ascomycota",0.838759883495114,"Soil",11,"CON","RTx430"
"217","Ascomycota",0.600485711066313,"Leaf",12,"CON","RTx430"
"218","Ascomycota",0.915349236288216,"Rhizosphere",12,"CON","RTx430"
"219","Ascomycota",0.884825638230455,"Root",12,"CON","RTx430"
"220","Ascomycota",0.838016393509366,"Soil",12,"CON","RTx430"
"221","Ascomycota",0.64722365776872,"Leaf",13,"CON","RTx430"
"222","Ascomycota",0.888676118032622,"Rhizosphere",13,"CON","RTx430"
"223","Ascomycota",0.880018085823333,"Root",13,"CON","RTx430"
"224","Ascomycota",0.889125498178603,"Soil",13,"CON","RTx430"
"225","Ascomycota",0.698489261225409,"Leaf",14,"CON","RTx430"
"226","Ascomycota",0.915783906534552,"Rhizosphere",14,"CON","RTx430"
"227","Ascomycota",0.8296770061583,"Root",14,"CON","RTx430"
"228","Ascomycota",0.839368861090556,"Soil",14,"CON","RTx430"
"229","Ascomycota",0.721806164954397,"Leaf",15,"CON","RTx430"
"230","Ascomycota",0.823770025413821,"Rhizosphere",15,"CON","RTx430"
"231","Ascomycota",0.762624731294439,"Root",15,"CON","RTx430"
"232","Ascomycota",0.761037479429764,"Soil",15,"CON","RTx430"
"233","Ascomycota",0.74667171867694,"Leaf",16,"CON","RTx430"
"234","Ascomycota",0.828480734284253,"Rhizosphere",16,"CON","RTx430"
"235","Ascomycota",0.789146938438196,"Root",16,"CON","RTx430"
"236","Ascomycota",0.812366525735438,"Soil",16,"CON","RTx430"
"237","Ascomycota",0.792493299002898,"Leaf",17,"CON","RTx430"
"238","Ascomycota",0.926128374053849,"Rhizosphere",17,"CON","RTx430"
"239","Ascomycota",0.79254395912969,"Root",17,"CON","RTx430"
"240","Ascomycota",0.830642363471643,"Soil",17,"CON","RTx430"
"241","Ascomycota",0.840519896075544,"Soil",0,"POST","RTx430"
"242","Ascomycota",0.38739820009283,"Leaf",8,"POST","RTx430"
"243","Ascomycota",0.907603466896767,"Rhizosphere",8,"POST","RTx430"
"244","Ascomycota",0.97059696512617,"Root",8,"POST","RTx430"
"245","Ascomycota",0.773556777912513,"Soil",8,"POST","RTx430"
"246","Ascomycota",0.735943652414013,"Leaf",9,"POST","RTx430"
"247","Ascomycota",0.871046599492272,"Rhizosphere",9,"POST","RTx430"
"248","Ascomycota",0.960127344890419,"Root",9,"POST","RTx430"
"249","Ascomycota",0.801451952934713,"Soil",9,"POST","RTx430"
"250","Ascomycota",0.684172562980099,"Leaf",10,"POST","RTx430"
"251","Ascomycota",0.91133379576213,"Rhizosphere",10,"POST","RTx430"
"252","Ascomycota",0.982633959388942,"Root",10,"POST","RTx430"
"253","Ascomycota",0.765491605541264,"Soil",10,"POST","RTx430"
"254","Ascomycota",0.779591531450417,"Leaf",11,"POST","RTx430"
"255","Ascomycota",0.938059203088662,"Rhizosphere",11,"POST","RTx430"
"256","Ascomycota",0.959497634101966,"Root",11,"POST","RTx430"
"257","Ascomycota",0.81021782608877,"Soil",11,"POST","RTx430"
"258","Ascomycota",0.770527878781163,"Leaf",12,"POST","RTx430"
"259","Ascomycota",0.956702627479173,"Rhizosphere",12,"POST","RTx430"
"260","Ascomycota",0.978167908869815,"Root",12,"POST","RTx430"
"261","Ascomycota",0.83940699023945,"Soil",12,"POST","RTx430"
"262","Ascomycota",0.798031698562822,"Leaf",13,"POST","RTx430"
"263","Ascomycota",0.93544730041987,"Rhizosphere",13,"POST","RTx430"
"264","Ascomycota",0.973570722453758,"Root",13,"POST","RTx430"
"265","Ascomycota",0.842595329133842,"Soil",13,"POST","RTx430"
"266","Ascomycota",0.810104581148569,"Leaf",14,"POST","RTx430"
"267","Ascomycota",0.937047202114301,"Rhizosphere",14,"POST","RTx430"
"268","Ascomycota",0.976380358237528,"Root",14,"POST","RTx430"
"269","Ascomycota",0.841903128350407,"Soil",14,"POST","RTx430"
"270","Ascomycota",0.840230506358153,"Leaf",15,"POST","RTx430"
"271","Ascomycota",0.907069721589193,"Rhizosphere",15,"POST","RTx430"
"272","Ascomycota",0.977936553377544,"Root",15,"POST","RTx430"
"273","Ascomycota",0.79475147819158,"Soil",15,"POST","RTx430"
