sorghum	Guild	Genus
2320	Yeast	Cystofilobasidium
3774	Saprotroph	Actinomucor
2283	Plant pathogen	Monographella
398	Plant pathogen	Talbotiomyces
5554	Endophyte	Podospora
2744	Unidentified & others	_
3422	Saprotroph	Coprinellus
135849	Saprotroph	Rhizopus
1803	Yeast	Filobasidium
342	Saprotroph	Preussia
716	Unidentified & others	_
1015	Saprotroph	Mallochia
3185	Yeast	Chrysozyma
1628	Unidentified & others	Polyschema
1974	Saprotroph	_
1232	Unidentified & others	_
16881	Saprotroph	Clitopilus
2182	Plant pathogen	Spizellomyces
987	Saprotroph	Laburnicola
5560	Unidentified & others	_
696	Saprotroph	Penicillium
1070	Saprotroph	Conocybe
1958	Saprotroph	Cryptodiscus
1179	Saprotroph	Chlorophyllum
604	Saprotroph	Cercophora
2180	Plant pathogen	Verticillium
608411	Saprotroph	Chaetomium
1858	Plant pathogen	Monilinia
413	Yeast	_
1894	Unidentified & others	_
3650	Yeast	Aureobasidium
1037	Saprotroph	Geastrum
935	Plant pathogen	Curvularia
954	Endophyte	Acremonium
2099	Saprotroph	Chaetomium
1942	Saprotroph	Ceratobasidium
4016	Saprotroph	Entoloma
635289	Plant pathogen	Fusarium
1552	Saprotroph	_
173	Unidentified & others	_
62065	Plant pathogen	Fusarium
4019	Arbuscular mycorrhizal	_
1950	Saprotroph	Harzia
6616	Saprotroph	Trichoderma
1647	Plant pathogen	Paraphysoderma
1427	Saprotroph	_
31	Saprotroph	Conocybe
135893	Yeast	Aureobasidium
1979	Unidentified & others	_
417	Saprotroph	Catenaria
4252	Saprotroph	Coprinopsis
909	Arbuscular mycorrhizal	_
638	Saprotroph	Nigrospora
1070	Saprotroph	Penicillium
1485	Unidentified & others	Pulvinula
1437	Plant pathogen	Spizellomyces
342670	Saprotroph	Achroiostachys
1149	Saprotroph	Meliniomyces
2238	Saprotroph	Mucor
2266	Unidentified & others	_
1868	Saprotroph	Kabatiella
2373	Endophyte	Podospora
1888	Saprotroph	Monocillium
1832	Arbuscular mycorrhizal	_
1075	Yeast	Exophiala
1157	Endophyte	Acremonium
497243	Saprotroph	Striaticonidium
8727	Endophyte	Thermomyces
2852	Plant pathogen	Ramularia
1747	Plant pathogen	_
1185	Plant pathogen	Monosporascus
678	Yeast	_
2353	Arbuscular mycorrhizal	_
1003	Saprotroph	Pleuroflammula
710	Saprotroph	Cephalotheca
5575	Saprotroph	Cristinia
1654	Saprotroph	Oliveonia
77649	Saprotroph	Pseudaleuria
1113	Unidentified & others	_
844	Unidentified & others	Pulvinula
1045	Unidentified & others	_
1540	Saprotroph	Clavaria
1976	Saprotroph	Arthrobotrys
1389	Unidentified & others	_
1066	Yeast	Cryptococcus
1260	Saprotroph	Corynespora
1326	Arbuscular mycorrhizal	_
1200	Saprotroph	Entoloma
128290	Saprotroph	Zopfiella
1191	Saprotroph	Plenodomus
640	Plant pathogen	Phyllachora
660	Saprotroph	Coprinopsis
391	Saprotroph	Comoclathris
3469	Saprotroph	Preussia
1626	Saprotroph	Serendipita
1218	Unidentified & others	_
1688	Saprotroph	Coprinellus
972	Saprotroph	Scutellinia
64220	Saprotroph	Arthroxylaria
114	Plant pathogen	Thanatephorus
1245	Saprotroph	Scolecobasidium
1255	Saprotroph	Scytalidium
2327	Saprotroph	Scolecobasidium
7046	Plant pathogen	Clonostachys
1872	Saprotroph	Chaetomium
1017	Saprotroph	Disciseda
1184	Yeast	Ustilago
56305	Saprotroph	Zopfiella
1604	Unidentified & others	_
1974	Saprotroph	Talaromyces
674	Yeast	Anthracocystis
258	Yeast	Rhodotorula
934	Saprotroph	Paraconiothyrium
2902	Saprotroph	Stachybotrys
27895	Plant pathogen	Ascochyta
2871	Saprotroph	Humicola
1765315	Plant pathogen	Alternaria
215644	Endophyte	Acremonium
973	Arbuscular mycorrhizal	_
1806	Saprotroph	Exidia
72396	Saprotroph	Schizothecium
2889	Saprotroph	Chaetomium
3211	Saprotroph	Aspergillus
483	Unidentified & others	_
1961	Saprotroph	Rhizophlyctis
993	Unidentified & others	_
2474	Arbuscular mycorrhizal	_
435	Yeast	Kodamaea
229946	Plant pathogen	Fusarium
870	Yeast	Hannaella
750	Yeast	Exophiala
264	Saprotroph	Coniophora
1164	Saprotroph	Entoloma
2719	Saprotroph	Arachnomyces
411	Saprotroph	Cuphophyllus
1954	Saprotroph	Entoloma
419	Unidentified & others	_
153	Saprotroph	Pyronema
54367	Saprotroph	Actinomucor
1086	Unidentified & others	Septoriella
4669	Saprotroph	Penicillium
5287	Saprotroph	Mortierella
8372	Saprotroph	Panaeolus
1204	Unidentified & others	_
979	Saprotroph	Monoblepharis
3069	Saprotroph	Trichoderma
1930	Saprotroph	Chaetomium
1206	Plant pathogen	Spizellomyces
27111	Yeast	Cryptococcus
584	Yeast	Cystobasidium
442	Yeast	Microstroma
988	Plant pathogen	Chytridium
729	Plant pathogen	Spizellomyces
703	Yeast	Auriculibuller
881	Arbuscular mycorrhizal	_
1213	Saprotroph	Gymnoascoideus
789	Plant pathogen	Stagonosporopsis
505	Saprotroph	Arthrobotrys
752	Yeast	Meyerozyma
74864	Plant pathogen	Curvularia
287	Yeast	Saitozyma
9615	Plant pathogen	Clonostachys
159	Saprotroph	Cristinia
629	Saprotroph	Chaetomium
934	Saprotroph	Mortierella
435	Saprotroph	Sphaerobolus
438	Plant pathogen	Betamyces
271	Plant pathogen	Podosphaera
476	Saprotroph	Conocybe
54236	Plant pathogen	Waitea
352	Plant pathogen	Rhexocercosporidium
571	Saprotroph	Mucor
306	Saprotroph	Microascus
931	Yeast	Hormonema
344	Yeast	Dirkmeia
698	Plant pathogen	Sigarispora
358	Saprotroph	_
3076	Saprotroph	Aspergillus
118	Saprotroph	_
104055	Endophyte	Thermomyces
324	Unidentified & others	Paraphoma
1088	Unidentified & others	_
932	Unidentified & others	Otidea
142	Saprotroph	Sporormiella
6780	Endophyte	Podospora
566	Plant pathogen	Alternaria
4116	Plant pathogen	Alternaria
1610	Saprotroph	Coniochaeta
413	Plant pathogen	Coniella
88740	Saprotroph	Chaetomium
776	Saprotroph	Scytalidium
301	Unidentified & others	_
597	Yeast	Filobasidium
140	Saprotroph	Oedocephalum
5325	Plant pathogen	Stemphylium
2205	Arbuscular mycorrhizal	_
1929	Saprotroph	Auricularia
916	Saprotroph	Parasola
697	Saprotroph	_
57825	Saprotroph	Geomyces
992	Plant pathogen	Exserohilum
1436	Saprotroph	Penicillium
1344	Plant pathogen	_
512	Plant pathogen	Laetisaria
1398	Saprotroph	Thielavia
9149	Saprotroph	Parasympodiella
406	Saprotroph	Uncinocarpus
2430	Unidentified & others	_
123	Saprotroph	Rhizophlyctis
58167	Plant pathogen	Macrophomina
1061	Arbuscular mycorrhizal	Claroideoglomus
691	Unidentified & others	_
219	Plant pathogen	Thanatephorus
106	Plant pathogen	Phoma
518	Yeast	Cryptococcus
236	Saprotroph	Setophaeosphaeria
507	Arbuscular mycorrhizal	Glomus
543	Unidentified & others	Hydnellum
2496887	Endophyte	Acremonium
176876	Yeast	_
671	Saprotroph	Cistella
1639	Saprotroph	Chaetomium
277	Plant pathogen	Bipolaris
71	Plant pathogen	Powellomyces
955	Endophyte	Acremonium
445	Saprotroph	Cladorrhinum
1022	Saprotroph	Endoconidioma
563	Saprotroph	Preussia
100811	Arbuscular mycorrhizal	Rhizophagus
224	Yeast	Candida
413	Plant pathogen	Diplodia
467	Yeast	Anthracocystis
170	Saprotroph	Preussia
236	Unidentified & others	Paracamarosporium
1043	Unidentified & others	_
1499	Saprotroph	Penicillium
33	Plant pathogen	Spizellomyces
306	Unidentified & others	_
73314	Saprotroph	Mortierella
425	Unidentified & others	Lyophyllum
700	Saprotroph	Cystoagaricus
345	Saprotroph	Rhizophlyctis
786	Plant pathogen	Gibellulopsis
391	Plant pathogen	Triparticalcar
490	Saprotroph	Conocybe
375	Saprotroph	Astrosphaeriella
2270	Plant pathogen	Cylindrocarpon
556	Plant pathogen	Ascochyta
55983	Plant pathogen	Stemphylium
401	Plant pathogen	Cochliobolus
262	Plant pathogen	Erysiphe
435	Saprotroph	Conocybe
347	Saprotroph	Conocybe
852	Arbuscular mycorrhizal	_
6285	Unidentified & others	Terfezia
518	Arbuscular mycorrhizal	Claroideoglomus
176	Plant pathogen	Bipolaris
574	Saprotroph	Psathyrella
5602	Yeast	Sporobolomyces
20584	Saprotroph	Trichocladium
397	Yeast	Microstroma
264	Saprotroph	Conocybe
707	Saprotroph	_
242	Yeast	Rhodosporidiobolus
553	Unidentified & others	_
311	Saprotroph	Mortierella
432	Unidentified & others	_
100020	Saprotroph	Panaeolus
303	Saprotroph	Smardaea
580	Arbuscular mycorrhizal	_
749	Arbuscular mycorrhizal	_
396	Saprotroph	Agaricus
602	Endophyte	Lecythophora
72	Saprotroph	_
173	Saprotroph	Cunninghamella
3519	Arbuscular mycorrhizal	Funneliformis
183	Plant pathogen	Truncatella
103013	Saprotroph	Oliveonia
4912	Endophyte	Acremonium
634	Unidentified & others	_
1048	Saprotroph	Arthrographis
585	Plant pathogen	Ganoderma
197	Arbuscular mycorrhizal	Glomus
1167	Arbuscular mycorrhizal	_
6927	Saprotroph	Geosmithia
505	Plant pathogen	Tranzschelia
288	Arbuscular mycorrhizal	_
615	Saprotroph	Zopfiella
28960	Saprotroph	Ascobolus
106	Unidentified & others	_
281	Saprotroph	Neosetophoma
584	Yeast	Cystobasidium
319	Yeast	Cystobasidium
226	Arbuscular mycorrhizal	Glomus
183	Unidentified & others	Terfezia
143	Plant pathogen	Alternaria
789	Saprotroph	Trichoderma
454	Arbuscular mycorrhizal	Glomus
55730	Endophyte	Camarosporium
353	Plant pathogen	Spizellomyces
72	Saprotroph	Alogomyces
1000	Saprotroph	Pluteus
179	Unidentified & others	Pisolithus
719	Saprotroph	Catenaria
162	Saprotroph	Ramicandelaber
108	Saprotroph	Coprinus
51	Plant pathogen	Erysiphe
764	Yeast	Occultifur
218276	Saprotroph	Chaetomium
454	Saprotroph	Coniolariella
313	Unidentified & others	_
220	Saprotroph	Pluteus
93	Saprotroph	Tulostoma
43	Yeast	Phaeococcomyces
304	Saprotroph	Spirosphaera
145	Arbuscular mycorrhizal	_
132	Saprotroph	Ascobolus
338	Plant pathogen	Botryosphaeria
1016385	Plant pathogen	Fusarium
40865	Saprotroph	_
156	Yeast	Occultifur
253	Yeast	Hannaella
796	Yeast	Buckleyzyma
140	Saprotroph	Neosetophoma
128	Plant pathogen	Phoma
273	Saprotroph	Phaeosphaeriopsis
50	Plant pathogen	Eutypella
173	Plant pathogen	Pyrenophora
101	Yeast	Ustilago
58048	Yeast	Papiliotrema
101	Saprotroph	Pringsheimia
474	Endophyte	Acremonium
1284	Plant pathogen	Fusarium
456	Yeast	_
419	Saprotroph	Spirosphaera
601	Saprotroph	Sphaerodes
298	Plant pathogen	Powellomyces
163	Plant pathogen	Puccinia
393	Saprotroph	Rhizophlyctis
541	Saprotroph	Comoclathris
69659	Saprotroph	Mortierella
408	Saprotroph	Entoloma
300	Unidentified & others	_
333	Saprotroph	Catenaria
12698	Plant pathogen	Neonectria
559	Unidentified & others	_
252	Saprotroph	Preussia
72	Unidentified & others	_
316	Plant pathogen	Ilyonectria
19389	Plant pathogen	Microdochium
241	Plant pathogen	Betamyces
882	Unidentified & others	Pulvinula
237	Plant pathogen	Monographella
134	Saprotroph	Rhizophlyctis
59	Unidentified & others	Tricholoma
129	Saprotroph	Cercophora
194	Saprotroph	Chrysosporium
1549	Unidentified & others	Wettsteinina
46200	Saprotroph	Leucothecium
192	Unidentified & others	Chordomyces
287	Unidentified & others	_
769	Saprotroph	Volvariella
361	Unidentified & others	_
272	Plant pathogen	Alternaria
176	Yeast	Cryptococcus
1678	Endophyte	Cladosporium
43	Unidentified & others	Phaeotheca
270	Yeast	Bullera
195301	Saprotroph	Corynascus
276	Plant pathogen	Knufia
728	Saprotroph	Leucoagaricus
136	Saprotroph	Ascobolus
1106	Plant pathogen	Sarocladium
546	Yeast	Erythrobasidium
165	Saprotroph	Mortierella
577	Saprotroph	Thielavia
155	Yeast	_
217	Arbuscular mycorrhizal	_
68061	Saprotroph	Talaromyces
200	Arbuscular mycorrhizal	_
310	Saprotroph	Mortierella
157	Saprotroph	Coprinopsis
93	Unidentified & others	Harpochytrium
503	Saprotroph	Coprinellus
96	Saprotroph	Laburnicola
229	Unidentified & others	_
496	Saprotroph	Geosmithia
